geschlecht,alter_monate,fachscore,interview,erfahrung_jahre,karriere_luecke_monate,eingestellt
0,367,49.8,43.4,0.4,16.8,0
1,567,90.5,55.0,20.7,7.4,1
1,460,59.5,65.1,12.1,1.5,0
0,422,75.4,57.3,7.6,19.3,1
0,443,59.2,38.8,12.6,12.7,0
1,483,59.5,74.8,5.0,5.7,1
0,530,51.2,18.9,9.9,13.3,0
1,336,61.8,53.3,8.7,1.5,0
0,331,64.8,50.7,0.0,24.6,0
0,589,48.2,62.2,15.0,18.2,0
1,407,58.1,68.4,8.1,6.8,0
1,286,50.8,76.9,8.6,0.0,0
1,509,94.5,49.3,4.6,3.6,1
1,512,58.7,68.8,15.8,7.8,0
1,272,83.2,62.9,0.0,6.8,1
1,484,57.1,34.3,7.6,0.0,0
1,544,63.9,88.5,7.1,6.8,1
0,501,40.2,38.4,6.0,19.5,0
1,532,53.3,66.3,12.4,11.1,0
0,287,63.2,65.8,0.0,15.4,1
1,496,83.8,64.1,12.2,0.0,1
0,420,63.3,52.6,4.4,14.0,0
0,398,80.8,72.4,1.7,13.6,1
1,560,69.6,36.6,10.2,8.9,0
1,634,84.4,59.0,15.9,0.0,1
1,671,59.1,51.5,15.2,4.2,0
0,614,95.9,49.8,14.1,23.7,1
1,443,52.7,66.4,10.0,6.0,0
1,498,48.5,76.2,13.5,9.6,1
0,548,41.8,54.9,10.5,11.4,0
0,471,95.0,71.7,5.0,11.6,1
0,472,72.3,60.7,9.0,23.7,0
0,555,55.0,46.6,13.5,18.4,0
1,449,78.7,56.1,2.7,6.4,1
1,368,70.3,55.5,1.7,1.5,0
0,406,89.5,49.6,3.7,18.4,0
1,532,36.8,66.4,10.2,1.4,0
1,456,56.0,63.5,5.4,10.7,1
0,497,53.1,36.1,12.1,28.9,0
1,536,30.4,35.2,5.5,7.9,0
0,411,75.9,66.4,0.9,15.5,0
1,547,55.9,47.8,10.3,0.0,1
1,501,71.1,64.5,9.2,0.0,1
0,308,95.4,71.7,0.0,24.2,1
0,629,54.7,40.9,12.5,13.9,0
1,396,53.7,38.8,4.4,4.5,0
0,257,61.8,85.1,0.0,20.6,1
1,331,74.8,65.3,3.9,11.9,1
1,333,51.5,53.7,1.2,5.2,0
1,462,50.5,46.0,13.5,4.4,0
1,423,75.9,52.3,8.6,6.3,1
0,416,65.7,42.1,3.8,15.5,0
0,530,29.3,73.3,11.2,15.7,0
0,497,41.6,48.3,10.1,19.6,0
0,494,82.5,76.4,13.8,18.7,1
0,505,66.0,54.0,7.8,26.5,0
1,530,48.6,44.3,13.6,7.8,0
0,240,57.4,53.6,0.1,22.6,0
1,412,60.2,20.6,11.7,1.7,0
1,240,71.0,58.2,4.5,8.1,0
1,460,39.6,57.4,9.0,3.1,0
1,455,47.4,72.4,7.2,7.6,0
0,581,64.1,31.7,14.6,20.8,0
1,599,58.5,77.4,12.8,6.2,0
0,480,68.6,72.3,14.9,27.6,1
0,396,41.6,78.8,6.1,23.7,0
1,514,65.4,59.2,8.9,10.7,0
0,393,76.4,75.2,4.1,21.1,1
0,456,67.3,37.9,3.8,25.1,0
0,574,62.1,70.7,14.5,12.3,0
1,389,58.6,48.4,2.7,11.5,0
0,553,47.5,35.2,15.6,14.0,0
0,537,58.9,43.1,6.6,15.7,0
0,341,78.9,60.1,4.2,20.2,1
1,573,58.2,47.6,16.5,10.9,0
0,540,46.7,65.6,3.7,13.4,0
0,468,52.6,32.9,15.6,15.9,0
0,365,63.0,28.1,3.2,18.4,0
1,353,54.4,80.6,4.7,5.3,1
1,391,67.3,73.6,7.7,9.4,1
1,521,67.8,44.3,13.1,19.7,0
0,341,73.3,60.0,4.8,19.7,1
0,509,81.4,75.3,13.6,15.1,1
1,307,74.9,66.3,4.3,0.8,1
1,432,46.0,62.2,13.3,4.7,0
1,469,46.4,76.4,10.4,2.2,0
0,749,58.9,49.0,26.0,19.9,0
0,291,53.2,60.5,5.1,19.8,0
1,633,42.9,59.7,8.4,4.1,0
1,474,53.4,55.9,17.9,13.9,0
0,505,52.9,54.2,7.9,15.1,1
1,470,49.9,61.1,13.9,5.5,0
1,509,55.3,60.5,10.2,8.6,1
0,438,77.7,44.3,11.1,21.6,0
1,630,63.0,72.0,12.2,11.1,1
0,401,97.1,45.4,8.2,19.7,1
0,592,62.6,56.7,12.3,22.2,0
1,379,55.6,55.6,10.7,3.3,1
1,449,60.1,65.4,9.4,9.7,1
0,327,63.8,28.2,6.6,21.6,0
1,511,66.5,73.4,2.6,12.1,1
0,629,91.2,49.8,14.3,11.3,0
1,447,47.3,78.3,9.2,2.4,0
0,432,72.9,52.8,8.0,21.3,0
1,322,63.1,59.3,6.4,0.0,0
1,428,36.4,88.7,5.8,8.0,1
1,265,71.6,55.8,1.1,10.2,1
1,346,79.0,78.6,8.1,3.7,1
0,483,47.1,60.6,1.1,16.3,0
1,614,59.9,66.2,16.1,1.7,1
0,780,34.1,61.0,19.1,15.9,0
1,386,41.1,72.7,2.3,4.0,0
1,628,75.7,49.7,15.7,3.3,1
0,485,53.0,45.2,13.5,15.0,0
1,438,43.4,50.4,11.1,4.9,0
1,508,63.4,61.5,9.6,4.9,1
0,463,52.2,56.7,11.4,25.5,0
0,469,52.9,70.7,11.6,16.4,0
0,407,71.1,79.6,6.0,19.4,1
0,288,42.6,45.4,0.0,15.7,0
0,271,46.4,49.0,0.0,15.6,0
1,534,62.3,38.5,14.0,0.0,0
1,423,74.5,90.5,6.7,0.0,1
0,384,78.6,64.6,1.8,13.2,1
1,457,50.0,67.2,2.2,6.7,0
1,551,74.1,39.9,14.6,10.3,1
0,478,48.2,60.0,7.0,10.9,0
1,377,87.4,67.6,6.3,3.8,1
1,603,43.0,56.2,18.0,0.5,0
1,646,79.9,76.1,10.6,4.9,1
1,515,50.2,94.7,10.2,10.3,0
1,573,90.2,45.8,11.9,4.2,1
0,605,68.9,44.7,15.0,17.8,0
1,592,44.8,46.8,17.5,11.8,0
1,530,52.2,84.1,6.2,7.8,1
0,528,71.7,75.6,12.8,15.0,0
1,518,75.8,58.0,14.0,6.6,1
0,324,58.9,60.5,2.5,14.7,0
0,540,60.7,47.8,10.8,19.7,0
0,293,71.4,73.4,3.5,20.1,1
1,361,62.0,54.3,5.7,0.5,0
0,612,40.6,56.1,16.0,18.7,0
0,557,47.8,69.1,13.8,17.5,0
0,634,63.5,57.2,11.4,20.2,0
1,423,78.2,56.5,10.3,9.3,1
1,318,84.2,60.2,7.0,7.9,1
0,427,71.7,71.9,7.7,16.8,0
0,468,64.3,84.7,3.3,21.7,1
1,465,71.2,68.8,8.1,2.5,1
0,592,50.0,72.0,13.9,12.7,0
1,413,57.7,57.0,2.5,0.0,0
0,498,47.6,49.4,8.4,17.7,0
1,337,41.3,69.8,0.0,2.7,0
0,510,65.0,62.6,12.3,19.6,0
0,456,62.8,38.7,8.7,10.1,0
1,366,70.3,55.1,0.0,3.4,1
0,428,68.2,58.8,8.3,19.9,0
1,434,63.6,52.3,7.1,1.9,0
1,424,68.3,82.2,8.7,7.6,1
1,669,59.4,67.2,14.7,3.8,1
1,444,66.2,80.6,4.9,5.9,1
1,427,49.1,64.0,4.3,8.4,1
0,240,65.5,61.2,0.0,21.8,0
0,349,70.0,46.0,4.1,18.4,0
0,424,50.0,60.2,7.4,14.7,0
1,374,60.8,60.2,4.3,4.2,0
0,622,50.6,39.5,12.8,20.5,0
0,436,52.1,51.9,6.1,13.9,0
0,611,43.1,55.2,22.7,17.3,0
0,463,79.0,66.2,5.7,16.5,0
0,460,76.0,66.9,6.3,17.6,0
0,445,68.1,51.3,19.2,14.0,1
1,456,89.6,67.0,9.6,0.0,0
1,662,57.2,57.3,11.0,8.1,0
1,240,100.0,17.0,2.9,9.9,0
0,240,56.6,52.7,0.0,10.8,0
1,391,63.8,76.2,8.8,7.5,1
0,458,54.0,34.8,7.4,22.3,0
1,539,65.6,61.7,9.7,8.4,1
1,513,72.5,83.8,15.9,4.3,1
1,410,58.3,48.6,8.4,2.2,0
0,578,86.7,60.0,16.1,18.3,1
0,580,63.6,40.4,14.3,19.0,0
1,478,64.1,84.4,7.4,6.4,1
0,572,46.4,58.8,14.6,17.3,0
0,489,66.3,60.7,13.6,13.7,0
0,389,58.0,80.3,6.0,19.7,0
0,540,50.9,69.9,17.5,19.9,0
0,469,48.4,46.9,11.6,18.8,0
0,456,100.0,50.3,8.8,18.4,1
1,633,56.0,67.4,15.6,12.7,0
1,240,38.1,50.6,0.5,3.5,0
1,286,49.5,28.2,0.0,11.1,0
0,314,59.2,59.2,2.4,15.1,0
1,412,68.2,37.8,7.2,10.4,1
0,425,68.3,84.2,5.5,22.9,1
0,275,70.1,62.7,2.5,16.8,1
0,338,50.3,46.4,3.7,24.6,0
0,353,65.1,49.5,6.9,19.9,0
1,751,46.9,31.7,21.5,2.5,0
0,672,50.7,43.5,16.8,16.5,0
1,407,46.2,75.2,1.5,10.5,1
0,412,42.2,93.5,12.7,21.7,0
1,318,76.0,70.9,2.4,1.8,1
0,240,70.3,58.6,0.0,17.4,1
0,442,74.6,53.5,6.4,18.8,0
1,336,60.6,45.7,1.9,4.0,0
1,446,71.7,90.9,13.1,15.4,1
0,264,33.6,57.2,5.8,18.9,0
1,365,72.9,91.7,6.2,5.8,1
0,474,62.7,80.9,8.4,22.8,1
1,500,69.4,33.9,11.9,4.5,0
1,506,65.7,50.0,10.2,10.0,0
0,298,45.2,50.0,1.5,11.3,0
1,559,37.5,58.8,13.1,4.2,0
0,360,49.3,59.1,3.0,22.2,0
0,532,68.5,100.0,11.8,24.3,1
0,455,70.4,43.8,8.8,14.9,0
0,291,39.5,63.4,4.0,14.4,1
1,418,45.3,69.2,4.5,8.3,0
0,500,49.2,60.0,12.2,15.5,0
0,530,54.6,61.7,7.7,16.9,0
1,439,39.6,44.3,5.5,9.5,0
0,640,38.7,61.6,13.1,15.8,0
1,577,47.7,67.7,8.9,0.0,0
0,425,61.3,64.9,10.5,12.8,0
1,546,42.3,68.6,8.1,6.0,1
1,688,58.3,81.2,14.4,0.0,1
1,691,75.9,74.1,21.3,4.8,1
0,309,40.5,61.1,0.6,12.4,0
0,345,56.9,42.4,3.3,24.6,0
1,634,75.4,51.0,11.2,14.7,0
0,329,53.7,56.7,6.3,13.8,1
1,297,51.4,63.8,5.1,7.0,0
0,398,77.5,52.8,8.5,14.2,0
1,506,55.4,46.0,11.9,4.8,0
1,444,76.6,42.2,7.9,13.2,1
0,378,66.4,35.2,3.3,16.1,0
0,375,54.9,56.5,2.2,16.9,0
1,371,67.2,38.0,9.4,2.2,0
0,350,64.8,45.0,6.8,22.6,0
1,730,75.3,54.1,15.9,0.0,0
0,492,51.8,40.0,9.6,16.2,0
1,562,60.6,65.7,11.0,5.8,1
