jahr,tag_im_jahr,wochentag,naehe_ferien_fr,naehe_ferien_be,naehe_ferien_de,naehe_ferien_nl,regen,ueberdurchschnittlich
1,1,0,0.0,0.0,0.0,0.0,0,0
1,2,1,0.0,0.0,0.0,0.0,0,0
1,3,2,0.0,0.0,0.0,0.0,1,0
1,4,3,0.0,0.0,0.0,0.0,0,1
1,5,4,0.0,0.0,0.0,0.0,0,0
1,6,5,0.0,0.0,0.0,0.0,0,0
1,7,6,0.0,0.0,0.0,0.0,1,0
1,8,0,0.0,0.0,0.0,0.0,0,0
1,9,1,0.0,0.0,0.0,0.0,1,0
1,10,2,0.0,0.0,0.0,0.0,0,0
1,11,3,0.0,0.0,0.0,0.0,0,0
1,12,4,0.0,0.0,0.0,0.0,0,0
1,13,5,0.0,0.0,0.0,0.0,1,0
1,14,6,0.0,0.0,0.0,0.0,1,0
1,15,0,0.0,0.0,0.0,0.0,1,1
1,16,1,0.0,0.0,0.0,0.0,1,0
1,17,2,0.0,0.0,0.0,0.0,0,0
1,18,3,0.0,0.0,0.0,0.0,0,0
1,19,4,0.0,0.0,0.0,0.0,0,0
1,20,5,0.0,0.0,0.0,0.0,0,1
1,21,6,0.0,0.0,0.0,0.0,0,1
1,22,0,0.0,0.0,0.0,0.0,0,0
1,23,1,0.0,0.0,0.0,0.0,0,1
1,24,2,0.0,0.0,0.0,0.0,1,0
1,25,3,0.0,0.0,0.0,0.0,0,1
1,26,4,0.0,0.0,0.0,0.0,0,0
1,27,5,0.0,0.0,0.0,0.0,0,0
1,28,6,0.0,0.0,0.0,0.0,1,0
1,29,0,0.0,0.0,0.0,0.0,1,0
1,30,1,0.0,0.0,0.0,0.0,1,1
1,31,2,0.0,0.0,0.0,0.0,1,0
1,32,3,0.0,0.0,0.0,0.0,0,0
1,33,4,0.0,0.0,0.0,0.0,0,1
1,34,5,0.0,0.0,0.0,0.0,0,1
1,35,6,0.0,0.0,0.0,0.0,0,1
1,36,0,0.0,0.0,0.0,0.0,1,1
1,37,1,0.0,0.0,0.0,0.0,0,0
